profile,beta_alpha,beta_beta,seed,framework,throughput,recovery_time,steady_E_GMI,success_rate
baseline_high,4,2,14,ISF,33.532,,0.14008569030549295,0.12495049504950495
baseline_high,4,2,15,ISF,34.832,,0.10817173216709047,0.10558558558558558
baseline_high,4,2,16,ISF,31.444,,0.0977853956543893,0.08706896551724137
baseline_high,4,2,17,ISF,33.3,,0.11245788899571497,0.09927272727272726
baseline_high,4,2,18,ISF,30.92,,0.09516880380217811,0.09184466019417475
baseline_high,4,2,19,ISF,33.09,,0.1051972777465536,0.08954128440366974
baseline_high,4,2,20,ISF,32.75,,0.1081356802893876,0.09259259259259257
baseline_high,4,2,21,ISF,26.71,,0.08694282074275936,0.08882882882882884
baseline_high,4,2,22,ISF,30.972,,0.09232728098099685,0.08449999999999999
baseline_high,4,2,23,ISF,33.294,,0.1296429482153431,0.10961538461538463
baseline_high,4,2,24,ISF,30.958,,0.08862494928316489,0.08000000000000002
baseline_high,4,2,25,ISF,35.11,,0.10420022000991119,0.10052631578947366
baseline_high,4,2,26,ISF,28.044,,0.10131085085627642,0.08747663551401867
baseline_high,4,2,27,ISF,27.208,,0.10103958024034468,0.09754716981132075
baseline_high,4,2,28,ISF,32.548,,0.09877031361610021,0.09275862068965518
baseline_high,4,2,29,ISF,37.468,,0.18350094814078977,0.16729166666666664
high,5,1,0,ISF,81.592,,0.6315395781915097,0.612
high,5,1,1,ISF,85.84,,0.6585090456546729,0.6373451327433629
high,5,1,2,ISF,87.758,,0.6958599462945478,0.68
high,5,1,3,ISF,85.898,,0.5346767271576752,0.5004838709677419
high,5,1,4,ISF,82.13,,0.6264075423651869,0.6007207207207207
high,5,1,5,ISF,81.12,,0.6841571497244523,0.6726415094339622
high,5,1,6,ISF,77.456,,0.7110650930612552,0.6844444444444444
high,5,1,7,ISF,75.038,,0.5691394652180564,0.5497247706422018
high,5,1,8,ISF,92.104,41.0,0.6934435277441312,0.6641379310344827
high,5,1,9,ISF,84.258,,0.7061349893621204,0.6900934579439252
high,5,1,10,ISF,83.658,16.0,0.6953494308558156,0.6888888888888889
high,5,1,11,ISF,87.13,,0.6980173143540662,0.6774774774774773
high,5,1,12,ISF,90.744,8.0,0.6812881724505613,0.6663793103448277
high,5,1,13,ISF,79.86,,0.6387219968186248,0.6138888888888889
high,5,1,14,ISF,77.94,,0.6334985281538403,0.6164150943396226
