seed,population_size,dimension,submetric,mean
1019,50,D5,api_adherence_rate,0.4509775700768368
1019,50,D5,format_translation_rate,0.4532805302916647
1019,50,D5,schema_reconciliation_rate,0.4514880283722067
1019,50,SVC,audit_trail_completeness,0.4420820382137333
1019,50,SVC,cross_border_flagging_rate,0.4487174796830223
1019,50,SVC,localization_compliance_rate,0.4596430435563944
1020,50,D1,completeness_ratio,0.4638260548791429
1020,50,D1,duplicate_rate,0.5778239395745535
1020,50,D1,schema_pass_rate,0.43707067765062924
1020,50,D2,encryption_coverage,0.4456461982830384
1020,50,D2,normalized_breach_latency,0.5275917812164708
1020,50,D2,policy_violation_rate,0.5643205555730266
1020,50,D3,catalog_coverage,0.4522455008548233
1020,50,D3,catalog_freshness,0.4545627297655785
1020,50,D3,lineage_rate,0.4068293532184192
1020,50,D4,consent_propagation_rate,0.4659847841161981
1020,50,D4,rule_pass_rate,0.455873670633541
1020,50,D5,api_adherence_rate,0.4250025198497181
1020,50,D5,format_translation_rate,0.43178005688849297
1020,50,D5,schema_reconciliation_rate,0.4664144088857078
1020,50,SVC,audit_trail_completeness,0.43480736311780815
1020,50,SVC,cross_border_flagging_rate,0.4309719756981733
1020,50,SVC,localization_compliance_rate,0.44229668924769255
1021,50,D1,completeness_ratio,0.4487150785069853
1021,50,D1,duplicate_rate,0.5388181776065281
1021,50,D1,schema_pass_rate,0.4379544935998279
1021,50,D2,encryption_coverage,0.46720368800114975
1021,50,D2,normalized_breach_latency,0.5450539046251979
1021,50,D2,policy_violation_rate,0.5545466573638749
1021,50,D3,catalog_coverage,0.4437442511922277
1021,50,D3,catalog_freshness,0.47443602776505517
1021,50,D3,lineage_rate,0.4391598949078328
1021,50,D4,consent_propagation_rate,0.43745858936149185
1021,50,D4,rule_pass_rate,0.5001083026478649
1021,50,D5,api_adherence_rate,0.4555301555146593
1021,50,D5,format_translation_rate,0.4565960116265636
1021,50,D5,schema_reconciliation_rate,0.4505057480510116
1021,50,SVC,audit_trail_completeness,0.44225665546230997
1021,50,SVC,cross_border_flagging_rate,0.4427511505972911
1021,50,SVC,localization_compliance_rate,0.45441472753854917
1022,50,D1,completeness_ratio,0.4658869494247815
1022,50,D1,duplicate_rate,0.5436818060942263
1022,50,D1,schema_pass_rate,0.43412102662700397
1022,50,D2,encryption_coverage,0.43945461726397966
1022,50,D2,normalized_breach_latency,0.5233513910233768
1022,50,D2,policy_violation_rate,0.5277405830661276
1022,50,D3,catalog_coverage,0.4407868308408824
1022,50,D3,catalog_freshness,0.44771511716450674
1022,50,D3,lineage_rate,0.45494872095449246
1022,50,D4,consent_propagation_rate,0.4561108161872804
1022,50,D4,rule_pass_rate,0.42554917838971545
1022,50,D5,api_adherence_rate,0.44193273849540227
1022,50,D5,format_translation_rate,0.45772467642949183
1022,50,D5,schema_reconciliation_rate,0.4523390603243461
1022,50,SVC,audit_trail_completeness,0.4450811819086762
1022,50,SVC,cross_border_flagging_rate,0.4574530295731303
1022,50,SVC,localization_compliance_rate,0.4467643399335738
1023,50,D1,completeness_ratio,0.4395781874604551
1023,50,D1,duplicate_rate,0.544285700263523
1023,50,D1,schema_pass_rate,0.44210973906780104
1023,50,D2,encryption_coverage,0.4695586599195577
1023,50,D2,normalized_breach_latency,0.5486356787991403
1023,50,D2,policy_violation_rate,0.5515862869817193
1023,50,D3,catalog_coverage,0.45231404568595324
1023,50,D3,catalog_freshness,0.45693443621748314
1023,50,D3,lineage_rate,0.44650666816265394
1023,50,D4,consent_propagation_rate,0.4402813714705994
1023,50,D4,rule_pass_rate,0.4679114849778337
1023,50,D5,api_adherence_rate,0.4643739964670117
1023,50,D5,format_translation_rate,0.4447882085443549
1023,50,D5,schema_reconciliation_rate,0.441797058550005
1023,50,SVC,audit_trail_completeness,0.44374650327510756
1023,50,SVC,cross_border_flagging_rate,0.45315394503802026
1023,50,SVC,localization_compliance_rate,0.4426461231209056
1024,50,D1,completeness_ratio,0.42310400300344075
1024,50,D1,duplicate_rate,0.5482118837469759
1024,50,D1,schema_pass_rate,0.4334750236225605
1024,50,D2,encryption_coverage,0.45587181102255775
1024,50,D2,normalized_breach_latency,0.575396790459807
1024,50,D2,policy_violation_rate,0.5712964195776367
1024,50,D3,catalog_coverage,0.4520525592290214
1024,50,D3,catalog_freshness,0.4636664680644999
1024,50,D3,lineage_rate,0.42849467685137405
1024,50,D4,consent_propagation_rate,0.45019344793928573
1024,50,D4,rule_pass_rate,0.43015753185515543
1024,50,D5,api_adherence_rate,0.46211895647217616
1024,50,D5,format_translation_rate,0.47417653673444965
1024,50,D5,schema_reconciliation_rate,0.4814420275867497
1024,50,SVC,audit_trail_completeness,0.4542448872022591
1024,50,SVC,cross_border_flagging_rate,0.45812502770445884
1024,50,SVC,localization_compliance_rate,0.44234723239967855
1025,50,D1,completeness_ratio,0.47815040927755903
1025,50,D1,duplicate_rate,0.512171429726756
1025,50,D1,schema_pass_rate,0.449263569618407
1025,50,D2,encryption_coverage,0.46552772274243276
1025,50,D2,normalized_breach_latency,0.5688240845769473
