threshold,seed,framework,admitted_fraction,steady_E_GMI,recovery_time,success_rate
0.3,21,DMM,1.0,0.01143016577043038,,0.05345794392523364
0.3,21,ISF,1.0,0.06661036138563517,,0.07027027027027026
0.3,22,DBL,1.0,0.005754536891914986,,0.04732142857142858
0.3,22,DMM,1.0,0.0038532746821381674,,0.047857142857142855
0.3,22,ISF,1.0,0.06946048464966376,,0.066
0.3,23,DBL,1.0,0.0048375302286498174,,0.04954954954954956
0.3,23,DMM,1.0,0.004536861285404113,,0.05153153153153153
0.3,23,ISF,1.0,0.09034940713168198,,0.07523809523809524
0.3,24,DBL,1.0,0.019776663623990807,,0.05169811320754717
0.3,24,DMM,1.0,0.01564438154351191,,0.05018867924528302
0.3,24,ISF,1.0,0.06642604728935494,,0.06770642201834863
0.3,25,DBL,1.0,0.011736635829492756,,0.05303571428571429
0.3,25,DMM,1.0,0.008591968458553591,,0.051071428571428566
0.3,25,ISF,1.0,0.07336490165223579,,0.06298245614035088
0.3,26,DBL,1.0,0.008073435786143416,,0.05168141592920355
0.3,26,DMM,1.0,0.005700408331967789,,0.04884955752212389
0.3,26,ISF,1.0,0.06528541488170127,,0.06293103448275864
0.3,27,DBL,1.0,0.0018359413594408844,,0.04760330578512398
0.3,27,DMM,1.0,0.0020212627912993813,,0.04694214876033058
0.3,27,ISF,1.0,0.07589864389818202,,0.07724770642201836
0.3,28,DBL,1.0,0.003093830377836932,,0.047627118644067795
0.3,28,DMM,1.0,0.003221175088929929,,0.049491525423728804
0.3,28,ISF,1.0,0.07167463948970283,,0.068
0.3,29,DBL,1.0,0.0062084725444100574,,0.05009174311926605
0.3,29,DMM,1.0,0.0075208980279003424,,0.05192660550458715
0.3,29,ISF,1.0,0.09260149269365585,,0.08520833333333334
0.4,0,DBL,1.0,0.005535094065925042,,0.04776859504132232
0.4,0,DMM,1.0,0.0038620608100960793,,0.04925619834710744
0.4,0,ISF,1.0,0.07811919088943789,,0.07
0.4,1,DBL,1.0,0.01694918939862439,,0.05513513513513512
0.4,1,DMM,1.0,0.016885269660617007,,0.05801801801801802
0.4,1,ISF,1.0,0.08267890520360949,,0.0824074074074074
0.4,2,DBL,1.0,0.014425948025895063,,0.057685950413223136
0.4,2,DMM,1.0,0.010103964877079853,,0.05338842975206611
0.4,2,ISF,0.98,0.07215015997231047,,0.07019230769230769
0.4,3,DBL,1.0,0.018306165104231952,,0.051504424778761056
0.4,3,DMM,1.0,0.017533239378021752,,0.054336283185840696
0.4,3,ISF,0.98,0.07046986638010355,,0.07131147540983607
0.4,4,DBL,1.0,0.007627678689637415,,0.04349514563106796
0.4,4,DMM,1.0,0.006669185954494142,,0.04233009708737864
0.4,4,ISF,0.98,0.0803504695550956,,0.07326923076923078
0.4,5,DBL,1.0,0.007749084310539103,,0.049482758620689654
0.4,5,DMM,1.0,0.006595162282071,,0.049655172413793094
0.4,5,ISF,1.0,0.07579362742026687,,0.07214285714285715
0.4,6,DBL,1.0,0.007897556833278916,,0.05147826086956522
0.4,6,DMM,1.0,0.0053868358778562985,,0.04869565217391303
0.4,6,ISF,1.0,0.07084952293671894,,0.07130434782608695
