candidate_seed_count,metric,sample_count,mean,standard_deviation,ci_lower,ci_upper,ci_width,relative_ci_width,maximum_relative_ci_width,accepted_metric
20,D1,20,0.36436601939619717,0.004203770235948091,0.3623985943644942,0.36633344442790017,0.003934850063405942,0.01079916856661472,0.05,True
20,D2,20,0.005890300000000003,0.0003429623732622641,0.0057297886684532975,0.006050811331546708,0.00032102266309341087,0.032102266309341085,0.05,True
20,D3,20,0.007283856420603967,0.0009290632460702604,0.00684904143696783,0.007718671404240103,0.0008696299672722733,0.08696299672722732,0.05,False
20,D4,20,0.005861329750329363,0.0003083436039772575,0.005717020501540568,0.006005638999118158,0.0002886184975775899,0.02886184975775899,0.05,True
20,D5,20,0.30486576475306093,0.006712743539636263,0.3017241040699089,0.30800742543621296,0.006283321366304032,0.02061012449657467,0.05,True
20,SVC,20,0.45000000001386986,7.778290716068518e-11,0.4499999999774663,0.4500000000502734,7.280704224884758e-11,1.6179342721467453e-10,0.05,True
20,E_GMI_DBL,20,0.14062846679619515,0.0021747180407450436,0.13961066742322517,0.14164626616916512,0.0020355987459399643,0.01447501201083307,0.05,True
20,E_GMI_DMM,20,0.12096009412354809,0.0018712163247323168,0.12008433792604524,0.12183585032105095,0.0017515123950057176,0.014480084590681045,0.05,True
20,E_GMI_ISF,20,0.1521668775901192,0.0016317188495956936,0.15140320966128148,0.15293054551895693,0.0015273358576754453,0.010037242544921755,0.05,True
25,success_rate,25,0.13503199999999999,0.005821706508118271,0.1326289176623348,0.13743508233766516,0.004806164675330323,0.0355927830094372,0.05,True
25,volume_success_rate,25,0.1355169451140683,0.0077548509714391615,0.13231589996094972,0.1387179902671869,0.00640209030623719,0.04724199103550022,0.05,True
25,mean_operational_readiness,25,0.13742438798451004,0.0022574595422140092,0.13649255448408826,0.13835622148493182,0.001863667000843581,0.013561399313298353,0.05,True
25,D1,25,0.3639844320461572,0.004121576505310645,0.3622831288819671,0.3656857352103473,0.0034026063283801996,0.009348219398429414,0.05,True
25,D2,25,0.005882096000000003,0.0003905538166928263,0.005720883307897872,0.006043308692102135,0.0003224253842042637,0.03224253842042637,0.05,True
25,D3,25,0.007157845136483174,0.0008798432322803945,0.006794663700170843,0.007521026572795506,0.0007263628726246632,0.07263628726246632,0.05,False
25,D4,25,0.0058728558002634915,0.00029202174568488846,0.005752315148086862,0.005993396452440121,0.00024108130435325842,0.024108130435325843,0.05,True
25,D5,25,0.3042247109396463,0.006539202702839627,0.30152546072912934,0.3069239611501633,0.005398500421033918,0.01774510822726988,0.05,True
25,SVC,25,0.4500000000198128,8.384955385339987e-11,0.4499999999852014,0.45000000005442414,6.922278943647343e-11,1.5382842096316814e-10,0.05,True
25,E_GMI_DBL,25,0.1404123740398356,0.002136878451429849,0.1395303139673796,0.14129443411229162,0.0017641201449119942,0.012563850992302898,0.05,True
25,E_GMI_DMM,25,0.12076987067172608,0.001840427660766541,0.12001017947135878,0.12152956187209338,0.0015193824007345975,0.012580806721773747,0.05,True
25,E_GMI_ISF,25,0.1520019168925267,0.0016065853865069818,0.15133875103885783,0.15266508274619559,0.0013263317073377453,0.008725756453950058,0.05,True
30,success_rate,30,0.13478,0.0062367874135150145,0.13245114530613783,0.1371088546938622,0.004657709387724368,0.03455786754506876,0.05,True
30,volume_success_rate,30,0.13548663231149322,0.008475984216991594,0.13232164778980376,0.13865161683318267,0.006329969043378919,0.04672024786051128,0.05,True
30,mean_operational_readiness,30,0.13720079859513692,0.002360429201584472,0.13631939984588226,0.1380821973443916,0.0017627974985093278,0.012848303483357495,0.05,True
30,D1,30,0.3635937255597357,0.004302849581875259,0.36198701512031645,0.3652004359991549,0.003213420878838492,0.008837943707338676,0.05,True
30,D2,30,0.005876920000000003,0.0003890732990067559,0.005731637642502161,0.0060222023574978455,0.0002905647149956836,0.02905647149956836,0.05,True
30,D3,30,0.007112132388255741,0.0008531948931072478,0.006793544179318824,0.007430720597192658,0.0006371764178738348,0.06371764178738347,0.05,False
30,D4,30,0.005820086500219576,0.00030558683651787667,0.005705978500151307,0.005934194500287845,0.00022821600013653875,0.022821600013653874,0.05,True
30,D5,30,0.30360112852747345,0.0067972207433784435,0.3010630045889965,0.3061392524659504,0.0050762478769539295,0.016720121896696343,0.05,True
30,SVC,30,0.45000000001698887,7.787251175844355e-11,0.4499999999879108,0.45000000004606694,5.815614755074023e-11,1.2923588344121035e-10,0.05,True
30,E_GMI_DBL,30,0.14020042844675004,0.002235899922752902,0.13936552969441715,0.14103532719908293,0.00166979750466579,0.011910074192818898,0.05,True
30,E_GMI_DMM,30,0.12058546984966836,0.001928038988702318,0.11986552825937803,0.1213054114399587,0.0014398831805806527,0.011940768505324299,0.05,True
30,E_GMI_ISF,30,0.15184068574408846,0.001683270257772472,0.15121214230001384,0.15246922918816308,0.0012570868881492594,0.00827898584617793,0.05,True
40,success_rate,40,0.13468,0.006403973125714363,0.1326319100335971,0.1367280899664029,0.004096179932805825,0.030414166415249667,0.05,True
40,volume_success_rate,40,0.13553986206536311,0.008336324025513164,0.1328737762998279,0.13820594783089832,0.005332171531070407,0.03934024610781296,0.05,True
40,mean_operational_readiness,40,0.13708125623779213,0.002453907030793102,0.13629645869576743,0.13786605377981684,0.001569595084049415,0.01145010723659163,0.05,True
40,D1,40,0.3633908283300315,0.004472323370671356,0.3619605099257894,0.3648211467342736,0.002860636808484262,0.007872066616624214,0.05,True
40,D2,40,0.0058243100000000035,0.00039414302219970655,0.005698256946177281,0.005950363053822726,0.0002521061076454445,0.02521061076454445,0.05,True
40,D3,40,0.007030764600946292,0.0007935813663236828,0.0067769649671899366,0.007284564234702647,0.0005075992675127112,0.05075992675127112,0.05,False
40,D4,40,0.005810434875164683,0.0003322285483372636,0.005704183030716748,0.005916686719612617,0.0002125036888958688,0.02125036888958688,0.05,True
40,D5,40,0.30334994338281823,0.0070013846346848475,0.30111079194671253,0.30558909481892393,0.0044783028722113795,0.014762827453571995,0.05,True
40,SVC,40,0.4500000000175611,7.080389256797799e-11,0.4499999999949169,0.45000000004020524,4.528836680106127e-11,1.0064081510954203e-10,0.05,True
40,E_GMI_DBL,40,0.1400833004851528,0.0023277657782934443,0.1393388448728212,0.1408277560974844,0.0014889112246632232,0.010628756029495682,0.05,True
40,E_GMI_DMM,40,0.12047851661530846,0.0020088424790158984,0.119836057622338,0.12112097560827893,0.001284917985940944,0.01066512123521346,0.05,True
40,E_GMI_ISF,40,0.15174626190126644,0.0017561876858112953,0.15118460583122645,0.15230791797130644,0.0011233121400799878,0.007402568775044157,0.05,True
50,success_rate,50,0.13401600000000002,0.00617061370281658,0.1322623309891807,0.13576966901081935,0.0035073380216386683,0.026171039440355388,0.05,True
50,volume_success_rate,50,0.13430371360270132,0.008365768455123336,0.1319261885139499,0.13668123869145274,0.004755050177502843,0.03540520250668037,0.05,True
50,mean_operational_readiness,50,0.1370291724004272,0.0024785777415956556,0.136324768400164,0.1377335764006904,0.0014088080005263861,0.010281080851963127,0.05,True
50,D1,50,0.3633075386906791,0.004481067773118747,0.3620340333202955,0.36458104406106273,0.002547010740767201,0.00701061901976037,0.05,True
50,D2,50,0.005810040000000003,0.0004001138715466911,0.005696328895866212,0.005923751104133795,0.00022742220826758397,0.022742220826758395,0.05,True
50,D3,50,0.006975283680757034,0.0007692567536540994,0.006756663330299686,0.007193904031214382,0.0004372407009146967,0.04372407009146967,0.05,True
50,D4,50,0.005813803900131745,0.0003471421695092213,0.005715147187147259,0.005912460613116232,0.00019731342596897267,0.019731342596897267,0.05,True
50,D5,50,0.303239195730568,0.00703535868003464,0.30123976891641757,0.30523862254471845,0.003998853628300867,0.013187126481676534,0.05,True
50,SVC,50,0.4500000000143834,6.974145724518082e-11,0.4499999999945631,0.4500000000342037,3.9640605693540555e-11,8.809023487171893e-11,0.05,True
50,E_GMI_DBL,50,0.14003258954843273,0.002351214883024956,0.1393643816720823,0.14070079742478317,0.0013364157527009056,0.009543605220830989,0.05,True
50,E_GMI_DMM,50,0.12043147494102822,0.00203222831155963,0.11985392204523358,0.12100902783682287,0.0011551057915892868,0.009591394543286199,0.05,True
50,E_GMI_ISF,50,0.1517052528288087,0.0017774406119750793,0.15120010979605497,0.15221039586156243,0.0010102860655074465,0.006659532525531601,0.05,True
