code,scenario,framework,absolute_E_GMI_difference,maximum_allowed_E_GMI_difference,absolute_threshold_difference,maximum_allowed_threshold_difference,ranking_match_fraction,minimum_required_ranking_match_fraction,mean_dimension_rank_correlation,minimum_required_dimension_rank_correlation,accepted
P6,D5_reconciliation_heavy,DMM,0.013847779108258615,0.02,0.046666666666666676,0.1,1.0,0.9,0.4923377350940376,0.9,False
P6,D5_reconciliation_heavy,ISF,0.011690456506496943,0.02,0.0,0.1,1.0,0.9,0.4923377350940376,0.9,False
P7,SVC_audit_heavy,DBL,0.0,0.02,0.0,0.1,1.0,0.9,0.7277150860344137,0.9,False
P7,SVC_audit_heavy,DMM,0.0,0.02,0.0,0.1,1.0,0.9,0.7277150860344137,0.9,False
P7,SVC_audit_heavy,ISF,1.2514340119729184e-09,0.02,0.0,0.1,1.0,0.9,0.7277150860344137,0.9,False
P7,SVC_equal,DBL,0.0,0.02,0.0,0.1,1.0,0.9,0.9382761104441777,0.9,True
P7,SVC_equal,DMM,0.0,0.02,0.0,0.1,1.0,0.9,0.9382761104441777,0.9,True
P7,SVC_equal,ISF,3.0150462682065893e-10,0.02,0.0,0.1,1.0,0.9,0.9382761104441777,0.9,True
P7,SVC_localization_heavy,DBL,0.0,0.02,0.0,0.1,1.0,0.9,0.9693637454981994,0.9,True
P7,SVC_localization_heavy,DMM,0.0,0.02,0.0,0.1,1.0,0.9,0.9693637454981994,0.9,True
P7,SVC_localization_heavy,ISF,1.7346005187768299e-10,0.02,0.0,0.1,1.0,0.9,0.9693637454981994,0.9,True
P8,ISF_equal_six_dimensions,DBL,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P8,ISF_equal_six_dimensions,DMM,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P8,ISF_equal_six_dimensions,ISF,0.03798489237768862,0.02,0.0,0.1,1.0,0.9,,0.9,False
P8,ISF_sovereignty_heavy,DBL,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
