code,scenario,seed,dimension,spearman_rank_correlation,accepted
P4,D3_lineage_heavy,9026,D3,0.424108765007385,False
P4,D3_lineage_heavy,9027,D3,0.2257937830262165,False
P4,D3_lineage_heavy,9028,D3,0.9992248437575698,True
P4,D3_lineage_heavy,9029,D3,0.08465717954164517,False
P4,D3_freshness_heavy,9000,D3,-0.05576598106294056,False
P4,D3_freshness_heavy,9001,D3,0.08772178221802415,False
P4,D3_freshness_heavy,9002,D3,0.06962851287822601,False
P4,D3_freshness_heavy,9003,D3,0.11783221567326248,False
P4,D3_freshness_heavy,9004,D3,0.2172348206802522,False
P4,D3_freshness_heavy,9005,D3,0.4372709251803874,False
P4,D3_freshness_heavy,9006,D3,0.14903695705006073,False
P4,D3_freshness_heavy,9007,D3,0.07215813480512677,False
P4,D3_freshness_heavy,9008,D3,0.24334298812104405,False
P4,D3_freshness_heavy,9009,D3,0.2627289777085533,False
P4,D3_freshness_heavy,9010,D3,0.3111924418300682,False
P4,D3_freshness_heavy,9011,D3,0.1713283620560638,False
P4,D3_freshness_heavy,9012,D3,0.4084029557816708,False
P4,D3_freshness_heavy,9013,D3,0.12724955114876607,False
P4,D3_freshness_heavy,9014,D3,0.7296027226982023,False
P4,D3_freshness_heavy,9015,D3,0.10041123927297628,False
P4,D3_freshness_heavy,9016,D3,0.2747258431607265,False
P4,D3_freshness_heavy,9017,D3,0.25317826884380157,False
P4,D3_freshness_heavy,9018,D3,0.27976369006188306,False
P4,D3_freshness_heavy,9019,D3,0.38166362460037406,False
P4,D3_freshness_heavy,9020,D3,0.35134448710413557,False
P4,D3_freshness_heavy,9021,D3,0.338958038829045,False
P4,D3_freshness_heavy,9022,D3,0.03486036387874192,False
P4,D3_freshness_heavy,9023,D3,0.02702660288235319,False
P4,D3_freshness_heavy,9024,D3,0.054683751259861475,False
P4,D3_freshness_heavy,9025,D3,0.9417624605505833,True
P4,D3_freshness_heavy,9026,D3,0.04601169111662351,False
P4,D3_freshness_heavy,9027,D3,0.12583174855816714,False
P4,D3_freshness_heavy,9028,D3,0.24340305067672868,False
P4,D3_freshness_heavy,9029,D3,0.3010151872441951,False
P5,D4_equal,9000,D4,0.38513620782933544,False
P5,D4_equal,9001,D4,0.11215312076510225,False
P5,D4_equal,9002,D4,0.21005072926830834,False
P5,D4_equal,9003,D4,0.14664135005619994,False
P5,D4_equal,9004,D4,0.14358485297267792,False
P5,D4_equal,9005,D4,0.18179024449544898,False
P5,D4_equal,9006,D4,0.18306192926786233,False
P5,D4_equal,9007,D4,0.2630855209301193,False
P5,D4_equal,9008,D4,0.9999999999999999,True
P5,D4_equal,9009,D4,0.24834005626937852,False
P5,D4_equal,9010,D4,0.07906648513999365,False
P5,D4_equal,9011,D4,0.2106761742704224,False
P5,D4_equal,9012,D4,0.08443743805715474,False
P5,D4_equal,9013,D4,0.2292604421475733,False
P5,D4_equal,9014,D4,0.8682662058589392,False
P5,D4_equal,9015,D4,0.1877100170129754,False
P5,D4_equal,9016,D4,0.20289402596329503,False
P5,D4_equal,9017,D4,-0.03142345907498175,False
P5,D4_equal,9018,D4,0.25297117672310543,False
P5,D4_equal,9019,D4,-0.03432402502422543,False
P5,D4_equal,9020,D4,0.21626844612944843,False
P5,D4_equal,9021,D4,0.1517090271637511,False
P5,D4_equal,9022,D4,0.043193307481628467,False
P5,D4_equal,9023,D4,0.08651067951983427,False
P5,D4_equal,9024,D4,0.33419857766745675,False
P5,D4_equal,9025,D4,-0.04788546423532582,False
P5,D4_equal,9026,D4,0.35206479160979126,False
P5,D4_equal,9027,D4,0.16877121177426574,False
P5,D4_equal,9028,D4,0.2695831434358487,False
P5,D4_equal,9029,D4,0.28529568596067195,False
P5,D4_rule_heavy,9000,D4,0.2916864209254143,False
P5,D4_rule_heavy,9001,D4,0.2031646748173836,False
P5,D4_rule_heavy,9002,D4,0.10301891473700883,False
P5,D4_rule_heavy,9003,D4,0.42396664223966934,False
P5,D4_rule_heavy,9004,D4,0.11118750181303581,False
P5,D4_rule_heavy,9005,D4,0.9065009167190972,True
P5,D4_rule_heavy,9006,D4,0.01055140450695022,False
P5,D4_rule_heavy,9007,D4,0.3332325496850645,False
P5,D4_rule_heavy,9008,D4,0.4553786413622431,False
P5,D4_rule_heavy,9009,D4,0.4715378935088079,False
P5,D4_rule_heavy,9010,D4,0.28228300056621153,False
P5,D4_rule_heavy,9011,D4,0.08711341677912962,False
P5,D4_rule_heavy,9012,D4,0.15818637030325253,False
P5,D4_rule_heavy,9013,D4,0.33449663711913635,False
P5,D4_rule_heavy,9014,D4,0.2024043083775929,False
P5,D4_rule_heavy,9015,D4,0.36915402631379934,False
P5,D4_rule_heavy,9016,D4,0.2773305834369456,False
P5,D4_rule_heavy,9017,D4,0.19999688131712695,False
P5,D4_rule_heavy,9018,D4,-0.21940638274095642,False
P5,D4_rule_heavy,9019,D4,0.004213244178836852,False
P5,D4_rule_heavy,9020,D4,0.23555166932666263,False
P5,D4_rule_heavy,9021,D4,0.29659682849874314,False
P5,D4_rule_heavy,9022,D4,0.2742783494170182,False
P5,D4_rule_heavy,9023,D4,0.17020084212687842,False
P5,D4_rule_heavy,9024,D4,0.010357544177822454,False
P5,D4_rule_heavy,9025,D4,-0.06406210219675512,False
P5,D4_rule_heavy,9026,D4,0.2898510520026192,False
