code,scenario,framework,E_GMI_mean,E_GMI_ci_lower,E_GMI_ci_upper,threshold_mean,threshold_ci_lower,threshold_ci_upper,success_rate_mean,ranking_match_fraction_within_scenario,seed_count
P6,D5_reconciliation_heavy,DMM,0.11090992298272553,0.1100456052355167,0.11177424072993437,0.046666666666666676,0.027719432002040332,0.06561390133129302,0.11934666666666667,1.0,30
P6,D5_reconciliation_heavy,ISF,0.1437668976996923,0.1430136864109926,0.14452010898839202,0.0,0.0,0.0,0.11934666666666667,1.0,30
P6,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P6,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P6,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,SVC_audit_heavy,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,SVC_audit_heavy,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,SVC_audit_heavy,ISF,0.15545735545762326,0.15468145408066178,0.15623325683458475,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,SVC_equal,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,SVC_equal,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,SVC_equal,ISF,0.15545735450769388,0.15468145325626456,0.1562332557591232,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,SVC_localization_heavy,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,SVC_localization_heavy,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,SVC_localization_heavy,ISF,0.1554573543796493,0.15468145300695965,0.15623325575233896,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P7,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P8,ISF_equal_six_dimensions,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P8,ISF_equal_six_dimensions,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P8,ISF_equal_six_dimensions,ISF,0.19344224658387787,0.19259197659997523,0.19429251656778052,0.0,0.0,0.0,0.13850666666666667,1.0,30
P8,ISF_sovereignty_heavy,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P8,ISF_sovereignty_heavy,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P8,ISF_sovereignty_heavy,ISF,0.2344914907664064,0.23377726430648704,0.23520571722632577,0.0,0.0,0.0,0.13850666666666667,1.0,30
P8,ISF_standard_dimensions_heavy,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
