code,scenario,seed,framework,shock_type,impact,affected_organizations,affected_fraction,mean_dimension_loss,maximum_dimension_loss,pre_shock_E_GMI,post_shock_E_GMI,immediate_E_GMI_loss,pre_shock_ranking,post_shock_ranking,ranking_preserved
P12,network_m_2,9016,DBL,security,0.3,50,1.0,0.005800000000000003,0.02000000000000001,0.1440257383592377,0.14286573835923772,0.0011599999999999944,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9016,DMM,security,0.3,50,1.0,0.005800000000000003,0.02000000000000001,0.12395584474181381,0.12279584474181382,0.0011599999999999944,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9016,ISF,security,0.3,50,1.0,0.005800000000000003,0.02000000000000001,0.15476868845964853,0.15360868845964853,0.0011599999999999944,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9017,DBL,security,0.3,50,1.0,0.0059600000000000035,0.02400000000000002,0.15151363663724265,0.15032163663724266,0.0011919999999999986,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9017,DMM,security,0.3,50,1.0,0.0059600000000000035,0.02400000000000002,0.1305509638281904,0.1293589638281904,0.0011919999999999986,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9017,ISF,security,0.3,50,1.0,0.0059600000000000035,0.02400000000000002,0.16049453866839683,0.1593025386683968,0.0011920000000000264,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9018,DBL,security,0.3,50,1.0,0.007000000000000005,0.03600000000000003,0.14762780809303563,0.14622780809303562,0.0014000000000000123,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9018,DMM,security,0.3,50,1.0,0.007000000000000005,0.03600000000000003,0.12708842704534434,0.12568842704534433,0.0014000000000000123,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9018,ISF,security,0.3,50,1.0,0.007000000000000005,0.03600000000000003,0.1575072325442202,0.1561072325442202,0.0013999999999999846,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9019,DBL,security,0.3,50,1.0,0.005120000000000003,0.050000000000000044,0.14678686725089363,0.1457628672508936,0.0010240000000000249,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9019,DMM,security,0.3,50,1.0,0.005120000000000003,0.050000000000000044,0.12666422711496783,0.12564022711496783,0.0010239999999999971,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9019,ISF,security,0.3,50,1.0,0.005120000000000003,0.050000000000000044,0.15704905648185535,0.15602505648185536,0.0010239999999999971,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9020,DBL,security,0.3,50,1.0,0.0053600000000000045,0.03400000000000005,0.15046177515565823,0.1493897751556582,0.0010720000000000174,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9020,DMM,security,0.3,50,1.0,0.0053600000000000045,0.03400000000000005,0.12952886839460814,0.1284568683946081,0.0010720000000000451,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9020,ISF,security,0.3,50,1.0,0.0053600000000000045,0.03400000000000005,0.1596203807523021,0.1585483807523021,0.0010719999999999896,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9021,DBL,security,0.3,50,1.0,0.008100000000000003,0.07499999999999998,0.15454770126572112,0.15292770126572114,0.0016199999999999826,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9021,DMM,security,0.3,50,1.0,0.008100000000000003,0.07499999999999998,0.13353716994101444,0.13191716994101443,0.0016200000000000103,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9021,ISF,security,0.3,50,1.0,0.008100000000000003,0.07499999999999998,0.1632125335968454,0.16159253359684542,0.0016199999999999826,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9022,DBL,security,0.3,50,1.0,0.00841710261550989,0.0868551307754943,0.15073389296793116,0.14905047244482914,0.001683420523102025,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9022,DMM,security,0.3,50,1.0,0.00841710261550989,0.0868551307754943,0.1296837436106137,0.12800032308751175,0.0016834205231019417,ISF>DBL>DMM,ISF>DBL>DMM,True
